lat,lon,Band1
-20.883333333343643,140.808333333031,-418.71194
-20.887500000010313,140.53333333303075,-3084.0376
-20.887500000010313,140.53749999969742,-3457.0852
-20.887500000010313,140.5416666663641,-2979.8174
-20.887500000010313,140.54583333303077,-2314.3826
-20.887500000010313,140.54999999969743,-1572.4071
-20.887500000010313,140.5541666663641,-903.18286
-20.887500000010313,140.55833333303076,-309.8536
-20.887500000010313,140.56249999969745,-771.1182
-20.887500000010313,140.5666666663641,-1269.6442
-20.887500000010313,140.57083333303078,-1731.3416
-20.887500000010313,140.57499999969747,-2001.118
-20.887500000010313,140.57916666636413,-2021.1082
-20.887500000010313,140.5833333330308,-2156.1438
-20.887500000010313,140.58749999969746,-2116.5337
-20.887500000010313,140.59166666636412,-1937.8943
-20.887500000010313,140.5958333330308,-1686.0249
-20.887500000010313,140.59999999969747,-1327.1658
-20.887500000010313,140.60416666636414,-1007.65405
-20.887500000010313,140.60833333303083,-743.305
-20.887500000010313,140.6124999996975,-549.7407
-20.887500000010313,140.61666666636415,-436.12796
-20.887500000010313,140.62083333303082,-525.04895
-20.887500000010313,140.62499999969748,-658.6437
-20.887500000010313,140.62916666636417,-792.81335
-20.887500000010313,140.63333333303083,-892.83594
-20.887500000010313,140.6374999996975,-949.4114
-20.887500000010313,140.6416666663642,-1040.3369
-20.887500000010313,140.64583333303085,-1138.1691
-20.887500000010313,140.6499999996975,-1255.2136
-20.887500000010313,140.65416666636418,-1426.9115
-20.887500000010313,140.65833333303084,-1354.5759
-20.887500000010313,140.66249999969753,-1378.6469
-20.887500000010313,140.6666666663642,-1470.4541
-20.887500000010313,140.67083333303086,-1604.3499
-20.887500000010313,140.67499999969755,-1447.5654
-20.887500000010313,140.6791666663642,-1361.7825
-20.887500000010313,140.68333333303087,-1408.1686
-20.887500000010313,140.68749999969754,-1590.6315
-20.887500000010313,140.6916666663642,-1920.9463
-20.887500000010313,140.6958333330309,-1649.0068
-20.887500000010313,140.69999999969755,-1451.4835
-20.887500000010313,140.70416666636422,-1257.974
-20.887500000010313,140.7083333330309,-1037.2119
-20.887500000010313,140.71249999969757,-735.56885
-20.887500000010313,140.71666666636423,-28.79678
-20.887500000010313,140.7208333330309,713.5814
-20.887500000010313,140.72499999969756,1409.8304
-20.887500000010313,140.72916666636425,1979.9733
-20.887500000010313,140.7333333330309,2392.5442
-20.887500000010313,140.73749999969758,2402.3718
-20.887500000010313,140.74166666636427,2282.643
-20.887500000010313,140.74583333303093,2091.077
-20.887500000010313,140.7499999996976,1853.8955
-20.887500000010313,140.75416666636426,1174.1976
-20.887500000010313,140.75833333303092,549.6987
-20.887500000010313,140.7624999996976,61.41733
-20.887500000010313,140.76666666636427,-248.88266
-20.887500000010313,140.77083333303094,-386.53745
-20.887500000010313,140.77499999969763,-348.45493
-20.887500000010313,140.7791666663643,-260.03772
-20.887500000010313,140.78333333303095,-207.26338
-20.887500000010313,140.78749999969762,-208.52415
-20.887500000010313,140.79166666636428,-235.45076
-20.887500000010313,140.79583333303097,-317.7866
-20.887500000010313,140.79999999969763,-556.7563
-20.887500000010313,140.8041666663643,-956.0785
-20.887500000010313,140.808333333031,-1799.4401
-20.891666666676983,140.53333333303075,-3368.2156
-20.891666666676983,140.53749999969742,-4342.504
-20.891666666676983,140.5416666663641,-3310.9202
-20.891666666676983,140.54583333303077,-2423.0974
-20.891666666676983,140.54999999969743,-1582.2491
-20.891666666676983,140.5541666663641,-941.6193
-20.891666666676983,140.55833333303076,-593.689
-20.891666666676983,140.56249999969745,-891.3132
-20.891666666676983,140.5666666663641,-1416.953
-20.891666666676983,140.57083333303078,-1913.8187
-20.891666666676983,140.57499999969747,-2132.1348
-20.891666666676983,140.57916666636413,-1805.2191
-20.891666666676983,140.5833333330308,-2242.55
-20.891666666676983,140.58749999969746,-2318.093
-20.891666666676983,140.59166666636412,-2226.3882
-20.891666666676983,140.5958333330308,-2088.5967
-20.891666666676983,140.59999999969747,-1611.7097
-20.891666666676983,140.60416666636414,-1219.4341
-20.891666666676983,140.60833333303083,-883.9035
-20.891666666676983,140.6124999996975,-609.23553
-20.891666666676983,140.61666666636415,-346.1012
-20.891666666676983,140.62083333303082,-520.24255
-20.891666666676983,140.62499999969748,-670.75183
-20.891666666676983,140.62916666636417,-812.6489
-20.891666666676983,140.63333333303083,-924.57684
-20.891666666676983,140.6374999996975,-1027.0402
-20.891666666676983,140.6416666663642,-1144.43
-20.891666666676983,140.64583333303085,-1282.7408
-20.891666666676983,140.6499999996975,-1418.8195
-20.891666666676983,140.65416666636418,-1534.5002
-20.891666666676983,140.65833333303084,-1515.5928
-20.891666666676983,140.66249999969753,-1549.5369
-20.891666666676983,140.6666666663642,-1698.3405
-20.891666666676983,140.67083333303086,-2115.4182
-20.891666666676983,140.67499999969755,-1712.3646
-20.891666666676983,140.6791666663642,-1597.9185
-20.891666666676983,140.68333333303087,-1652.8771
-20.891666666676983,140.68749999969754,-1839.8883
-20.891666666676983,140.6916666663642,-2042.2996
-20.891666666676983,140.6958333330309,-2009.7273
-20.891666666676983,140.69999999969755,-1924.3696
-20.891666666676983,140.70416666636422,-1841.0062
-20.891666666676983,140.7083333330309,-1737.484
-20.891666666676983,140.71249999969757,-1695.5979
-20.891666666676983,140.71666666636423,-542.8928
-20.891666666676983,140.7208333330309,497.76685
-20.891666666676983,140.72499999969756,1459.9135
-20.891666666676983,140.72916666636425,2234.3174
-20.891666666676983,140.7333333330309,2864.382
-20.891666666676983,140.73749999969758,2616.9385
