Lon,Lat,Mag,Grav_1vd
140.5415209,-20.88403025,574.8723145,-2567.791748
140.5423542,-20.88403025,563.354126,-2567.791748
140.5431875,-20.88403025,549.7351685,-2567.791748
140.5440208,-20.88403025,533.9909668,-2100.078369
140.5448541,-20.88403025,519.4106445,-2100.078369
140.5456874,-20.88403025,502.8956604,-2100.078369
140.5465207,-20.88403025,483.2059937,-2100.078369
140.547354,-20.88403025,466.1657104,-2100.078369
140.5481873,-20.88403025,450.9455872,-1547.429932
140.5490206,-20.88403025,424.6000977,-1547.429932
140.5498539,-20.88403025,411.2807617,-1547.429932
140.5506872,-20.88403025,563.9960938,-1547.429932
140.5515205,-20.88403025,1033.335815,-1547.429932
140.5523538,-20.88403025,1714.032349,-1045.373779
140.5531871,-20.88403025,2272.380127,-1045.373779
140.5540204,-20.88403025,2418.348145,-1045.373779
140.5548537,-20.88403025,2181.255371,-1045.373779
140.555687,-20.88403025,1769.025635,-1045.373779
140.5565203,-20.88403025,1370.588989,-735.1153564
140.5573536,-20.88403025,1059.837647,-735.1153564
140.5581869,-20.88403025,835.1803589,-735.1153564
140.5590202,-20.88403025,686.1742554,-735.1153564
140.5598535,-20.88403025,594.3377075,-735.1153564
140.5606868,-20.88403025,534.9335327,-966.9615479
140.5615201,-20.88403025,502.5666809,-966.9615479
140.5623534,-20.88403025,480.9926758,-966.9615479
140.5631867,-20.88403025,448.9103088,-966.9615479
140.56402,-20.88403025,431.0185547,-966.9615479
140.5648533,-20.88403025,426.7752075,-1386.954834
140.5656866,-20.88403025,433.3241882,-1386.954834
140.5665199,-20.88403025,436.6094055,-1386.954834
140.5673532,-20.88403025,429.4137878,-1386.954834
140.5681865,-20.88403025,426.2041931,-1386.954834
140.5690198,-20.88403025,444.2807922,-1835.250732
140.5698531,-20.88403025,478.370697,-1835.250732
140.5706864,-20.88403025,506.9508667,-1835.250732
140.5715197,-20.88403025,518.8605347,-1835.250732
140.572353,-20.88403025,513.1904297,-1835.250732
140.5731863,-20.88403025,484.9319458,-2156.845947
140.5740196,-20.88403025,449.8643799,-2156.845947
140.5748529,-20.88403025,431.2272034,-2156.845947
140.5756862,-20.88403025,452.5941467,-2156.845947
140.5765195,-20.88403025,534.8771362,-2156.845947
140.5773528,-20.88403025,657.475708,-2270.81543
140.5781861,-20.88403025,713.4802246,-2270.81543
140.5790194,-20.88403025,647.2890625,-2270.81543
140.5798527,-20.88403025,531.3981323,-2270.81543
140.580686,-20.88403025,443.9953918,-2270.81543
140.5815193,-20.88403025,397.3486938,-2224.718994
140.5823526,-20.88403025,383.4302063,-2224.718994
140.5831859,-20.88403025,398.5383301,-2224.718994
140.5840192,-20.88403025,444.4961243,-2224.718994
140.5848525,-20.88403025,492.9567871,-2224.718994
140.5856858,-20.88403025,532.4804077,-1987.691284
140.5865191,-20.88403025,584.8064575,-1987.691284
